,TEAM_ABBREVIATION,SEASON_ID,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PTS,REB,STL,TOV,RS_WINS,PLAYOFF,P_WINS,CONF
210,SAS,2013-14,2064,420.0,2786.0,1757.0,698.0,0.397,6844,3326,0.486,1642,1289,0.785,762.0,1495,8639,3548.0,604.0,1153.0,62,True,1,Western
211,SAS,2014-15,2000,444.0,2772.0,1847.0,677.0,0.367,6854,3208,0.468,1754,1368,0.78,806.0,1564,8461,3578.0,657.0,1104.0,55,True,1,Western
212,SAS,2015-16,2010,485.0,2831.0,1518.0,570.0,0.375,6797,3289,0.484,1672,1342,0.803,770.0,1433,8490,3601.0,677.0,1028.0,67,True,1,Western
213,SAS,2016-17,1954,484.0,2777.0,1927.0,753.0,0.391,6864,3222,0.469,1806,1440,0.797,821.0,1498,8637,3598.0,655.0,1057.0,61,True,1,Western
214,SAS,2017-18,1868,460.0,2777.0,1977.0,696.0,0.352,6999,3202,0.457,1715,1324,0.772,849.0,1408,8424,3626.0,628.0,1040.0,47,True,1,Western
215,SAS,2018-19,2013,386.0,2910.0,2071.0,812.0,0.392,7248,3468,0.478,1720,1408,0.819,757.0,1487,9156,3667.0,501.0,969.0,48,True,1,Western
216,TOR,2010-11,1795,350.0,2343.0,1091.0,345.0,0.316,6755,3144,0.465,1976,1491,0.755,963.0,1807,8124,3306.0,581.0,1152.0,22,False,0,Eastern
217,TOR,2012-13,1765,392.0,2426.0,1665.0,571.0,0.343,6685,2979,0.446,1831,1442,0.788,871.0,1836,7971,3297.0,595.0,1084.0,34,False,0,Eastern
218,TOR,2013-14,1737,343.0,2552.0,1917.0,713.0,0.372,6718,2992,0.445,2055,1608,0.782,935.0,1882,8305,3487.0,577.0,1099.0,48,True,3,Eastern
219,TOR,2014-15,1701,357.0,2526.0,2060.0,726.0,0.352,6829,3108,0.455,2014,1585,0.787,881.0,1712,8527,3407.0,615.0,1000.0,49,True,0,Eastern
220,TOR,2015-16,1536,449.0,2724.0,1915.0,708.0,0.37,6669,3006,0.451,2190,1702,0.777,836.0,1610,8422,3560.0,636.0,994.0,56,True,10,Eastern
221,TOR,2016-17,1517,400.0,2676.0,1996.0,725.0,0.363,6918,3211,0.464,2028,1615,0.796,871.0,1708,8762,3547.0,677.0,969.0,51,True,4,Eastern
222,TOR,2017-18,1995,500.0,2807.0,2705.0,968.0,0.358,7169,3383,0.472,1790,1422,0.794,800.0,1783,9156,3607.0,626.0,1045.0,59,True,4,Eastern
223,TOR,2018-19,2085,437.0,2920.0,2771.0,1015.0,0.366,7305,3460,0.474,1803,1449,0.804,786.0,1724,9384,3706.0,680.0,1093.0,58,True,16,Eastern
224,UTA,2010-11,1921,484.0,2338.0,1256.0,435.0,0.346,6590,3064,0.465,2061,1590,0.771,898.0,1865,8153,3236.0,629.0,1112.0,39,False,0,Western
225,UTA,2012-13,1859,515.0,2457.0,1385.0,507.0,0.366,6710,3046,0.454,1883,1439,0.764,989.0,1750,8038,3446.0,690.0,1164.0,43,False,0,Western
226,UTA,2013-14,1664,366.0,2477.0,1577.0,543.0,0.344,6652,2951,0.444,1803,1346,0.747,904.0,1699,7791,3381.0,570.0,1145.0,25,False,0,Western
227,UTA,2014-15,1632,489.0,2617.0,1781.0,610.0,0.343,6492,2900,0.447,1929,1391,0.721,988.0,1583,7801,3605.0,623.0,1166.0,38,False,0,Western
228,UTA,2015-16,1554,425.0,2665.0,1956.0,694.0,0.355,6593,2957,0.449,1885,1402,0.744,880.0,1655,8010,3545.0,631.0,1162.0,40,False,0,Western
229,UTA,2016-17,1651,410.0,2774.0,2128.0,791.0,0.372,6515,3033,0.466,1875,1401,0.747,771.0,1545,8258,3545.0,550.0,1060.0,51,True,4,Western
230,UTA,2017-18,1839,420.0,2807.0,2425.0,887.0,0.366,6797,3139,0.462,1766,1375,0.779,740.0,1608,8540,3547.0,708.0,1155.0,48,True,5,Western
231,UTA,2018-19,2133,483.0,2981.0,2789.0,993.0,0.356,7082,3314,0.468,2092,1540,0.736,820.0,1728,9161,3801.0,663.0,1210.0,50,True,1,Western
232,WAS,2010-11,1592,502.0,2374.0,1182.0,392.0,0.332,6888,3048,0.443,1999,1489,0.745,1013.0,1850,7977,3387.0,665.0,1209.0,23,False,0,Eastern
233,WAS,2012-13,1775,376.0,2652.0,1495.0,545.0,0.365,6693,2910,0.435,1746,1279,0.733,887.0,1681,7644,3539.0,598.0,1199.0,29,False,0,Eastern
234,WAS,2013-14,1909,377.0,2573.0,1704.0,647.0,0.38,6920,3177,0.459,1715,1253,0.731,886.0,1675,8254,3459.0,668.0,1155.0,44,True,6,Eastern
235,WAS,2014-15,1969,378.0,2801.0,1381.0,497.0,0.36,6790,3139,0.462,1758,1305,0.742,862.0,1707,8080,3663.0,601.0,1179.0,46,True,6,Eastern
236,WAS,2015-16,2005,323.0,2688.0,1983.0,709.0,0.358,7033,3238,0.46,1849,1349,0.73,743.0,1708,8534,3431.0,708.0,1138.0,41,False,0,Eastern
237,WAS,2016-17,1956,336.0,2671.0,2030.0,756.0,0.372,7137,3388,0.475,1812,1421,0.784,843.0,1745,8953,3514.0,693.0,1103.0,49,True,7,Eastern
238,WAS,2017-18,2065,353.0,2713.0,2173.0,814.0,0.375,7018,3275,0.467,1786,1378,0.772,823.0,1746,8742,3536.0,645.0,1152.0,43,True,2,Eastern
239,WAS,2018-19,2154,379.0,2679.0,2731.0,930.0,0.341,7387,3456,0.468,1963,1508,0.768,794.0,1701,9350,3473.0,683.0,1120.0,32,False,0,Eastern
