,TEAM_ABBREVIATION,SEASON_ID,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PTS,REB,STL,TOV,RS_WINS,PLAYOFF,P_WINS,CONF
0,ATL,2010-11,1802,341.0,2460.0,1427.0,502.0,0.352,6429,2971,0.462,1728,1346,0.779,762.0,1554,7790,3222.0,497.0,1048.0,44,True,6,Eastern
1,ATL,2012-13,2007,369.0,2593.0,1901.0,706.0,0.371,6644,3084,0.464,1619,1158,0.715,758.0,1473,8032,3351.0,664.0,1169.0,44,True,2,Eastern
2,ATL,2013-14,2041,326.0,2565.0,2116.0,768.0,0.363,6688,3061,0.458,1782,1392,0.781,713.0,1577,8282,3278.0,680.0,1189.0,38,True,3,Eastern
3,ATL,2014-15,2111,380.0,2611.0,2152.0,818.0,0.38,6699,3121,0.466,1735,1349,0.778,715.0,1457,8409,3326.0,744.0,1103.0,60,True,8,Eastern
4,ATL,2015-16,2100,486.0,2772.0,2326.0,815.0,0.35,6923,3168,0.458,1638,1282,0.783,679.0,1570,8433,3451.0,747.0,1191.0,48,True,4,Eastern
5,ATL,2016-17,1938,397.0,2793.0,2137.0,729.0,0.341,6918,3123,0.451,2039,1484,0.728,842.0,1491,8459,3635.0,672.0,1249.0,43,True,2,Eastern
6,ATL,2017-18,1946,348.0,2693.0,2544.0,917.0,0.36,7015,3130,0.446,1654,1298,0.785,743.0,1606,8475,3436.0,638.0,1228.0,24,False,0,Eastern
7,ATL,2018-19,2118,419.0,2825.0,3034.0,1067.0,0.352,7524,3392,0.451,1918,1443,0.752,955.0,1932,9294,3780.0,675.0,1363.0,29,False,0,Eastern
8,BKN,2010-11,1723,384.0,2440.0,1337.0,459.0,0.343,6638,2918,0.44,1881,1427,0.759,909.0,1807,7722,3349.0,458.0,1069.0,24,False,0,Eastern
9,BKN,2012-13,1668,391.0,2460.0,1760.0,628.0,0.357,6544,2942,0.45,1958,1432,0.731,1047.0,1500,7944,3507.0,599.0,1140.0,49,True,3,Eastern
10,BKN,2013-14,1714,311.0,2407.0,1922.0,709.0,0.369,6391,2931,0.459,2002,1508,0.753,721.0,1777,8079,3128.0,705.0,1144.0,44,True,5,Eastern
11,BKN,2014-15,1716,340.0,2627.0,1633.0,541.0,0.331,6804,3069,0.451,1817,1359,0.748,846.0,1579,8038,3473.0,576.0,1098.0,38,True,2,Eastern
12,BKN,2015-16,1829,332.0,2614.0,1508.0,531.0,0.352,6920,3136,0.453,1699,1286,0.757,863.0,1476,8089,3477.0,627.0,1174.0,21,False,0,Eastern
13,BKN,2016-17,1756,387.0,2879.0,2591.0,877.0,0.338,6987,3102,0.444,2020,1592,0.788,721.0,1726,8673,3600.0,593.0,1307.0,20,False,0,Eastern
14,BKN,2017-18,1941,390.0,2852.0,2924.0,1041.0,0.356,7114,3136,0.441,1850,1428,0.772,792.0,1688,8741,3644.0,512.0,1167.0,28,False,0,Eastern
15,BKN,2018-19,1954,339.0,2919.0,2965.0,1047.0,0.353,7358,3301,0.449,2088,1555,0.745,900.0,1763,9204,3819.0,539.0,1181.0,42,True,1,Eastern
16,BOS,2010-11,1921,344.0,2542.0,1119.0,408.0,0.365,6219,3023,0.486,1895,1459,0.77,639.0,1678,7913,3181.0,676.0,1115.0,56,True,5,Eastern
17,BOS,2012-13,1843,365.0,2533.0,1390.0,498.0,0.358,6459,3001,0.465,1698,1318,0.776,654.0,1717,7818,3187.0,667.0,1126.0,41,True,2,Eastern
18,BOS,2013-14,1726,343.0,2505.0,1729.0,575.0,0.333,6883,2996,0.435,1706,1325,0.777,980.0,1743,7892,3485.0,584.0,1182.0,25,False,0,Eastern
19,BOS,2014-15,2009,294.0,2685.0,2021.0,660.0,0.327,7211,3193,0.443,1678,1266,0.754,910.0,1738,8312,3595.0,674.0,1088.0,40,True,0,Eastern
20,BOS,2015-16,1981,348.0,2733.0,2142.0,717.0,0.335,7318,3216,0.439,1929,1520,0.788,950.0,1796,8669,3683.0,752.0,1104.0,48,True,2,Eastern
21,BOS,2016-17,2069,340.0,2698.0,2741.0,985.0,0.359,6977,3168,0.454,1903,1536,0.807,743.0,1686,8857,3441.0,617.0,1037.0,53,True,9,Eastern
22,BOS,2017-18,1842,373.0,2878.0,2492.0,939.0,0.377,6975,3141,0.45,1697,1308,0.771,767.0,1618,8529,3645.0,604.0,1091.0,55,True,11,Eastern
23,BOS,2018-19,2155,435.0,2849.0,2829.0,1032.0,0.365,7423,3451,0.465,1598,1282,0.802,804.0,1670,9216,3653.0,706.0,1019.0,49,True,5,Eastern
24,CHA,2010-11,1728,433.0,2444.0,1203.0,393.0,0.327,6365,2873,0.451,1999,1511,0.756,848.0,1637,7650,3292.0,524.0,1123.0,34,False,0,Eastern
25,CHA,2012-13,1587,479.0,2389.0,1399.0,469.0,0.335,6649,2823,0.425,2060,1546,0.75,917.0,1561,7661,3306.0,591.0,1074.0,21,False,0,Eastern
26,CHA,2013-14,1778,421.0,2724.0,1471.0,516.0,0.351,6730,2976,0.442,2000,1474,0.737,776.0,1493,7942,3500.0,499.0,954.0,43,True,0,Eastern
27,CHA,2014-15,1654,448.0,2793.0,1566.0,498.0,0.318,6932,2913,0.42,1867,1397,0.748,820.0,1494,7721,3613.0,499.0,916.0,33,False,0,Eastern
28,CHA,2015-16,1778,438.0,2869.0,2410.0,873.0,0.362,6922,3036,0.439,1941,1534,0.79,734.0,1487,8479,3603.0,595.0,973.0,48,True,3,Eastern
29,CHA,2016-17,1891,390.0,2853.0,2347.0,824.0,0.351,7000,3093,0.442,1953,1591,0.815,721.0,1360,8601,3574.0,571.0,899.0,36,False,0,Eastern
